ann_term	generic	annotation
PF00055	8.19744274959272	Laminin N-terminal (Domain VI)
PF00056	2.98927228473261	lactate/malate dehydrogenase, NAD binding domain
PF00057	132.93185206972	Low-density lipoprotein receptor domain class A
PF00058	50.9380461056645	Low-density lipoprotein receptor repeat class B
PF00059	132.310781855331	Lectin C-type domain
PF00060	21.4765122799337	Ligand-gated ion channel
PF00061	16.8031081780855	Lipocalin / cytosolic fatty-acid binding protein family
PF00062	4.56858628859393	C-type lysozyme/alpha-lactalbumin family
PF00063	24.4000970141415	Myosin head (motor domain)
PF00066	6.59878483909401	LNR domain
PF00067	89.9393918308243	Cytochrome P450
PF00068	4.38001610302998	Phospholipase A2
PF00069	216.383785233731	Protein kinase domain
PF00070	0.147441956154897	Pyridine nucleotide-disulphide oxidoreductase
PF00071	51.9992753572697	Ras family
PF00072	12.6770361826734	Response regulator receiver domain
PF00074	6.23690899536181	Pancreatic ribonuclease
PF00075	9.29422448059289	RNase H
PF00076	108.616125883463	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
PF00077	10.5682964042881	Retroviral aspartyl protease
PF00078	41.9459509599242	Reverse transcriptase (RNA-dependent DNA polymerase)
PF00079	18.1171843052324	Serpin (serine protease inhibitor)
PF00080	3.53840216129717	Copper/zinc superoxide dismutase (SODC)
PF00081	1.30993970433204	Iron/manganese superoxide dismutases, alpha-hairpin domain
PF00082	17.885626971787	Subtilase family
PF00083	26.3518371972714	Sugar (and other) transporter
PF00084	193.674697381452	Sushi repeat (SCR repeat)
PF00085	15.180476273931	Thioredoxin
PF00086	15.243086656621	Thyroglobulin type-1 repeat
PF00087	1.45479384133043	Snake toxin and toxin-like protein
PF00088	9.2387808970539	Trefoil (P-type) domain
PF00089	85.337409322944	Trypsin
PF00090	163.70988832759	Thrombospondin type 1 domain
PF00091	8.34520892951726	Tubulin/FtsZ family, GTPase domain
PF00092	57.9660570344054	von Willebrand factor type A domain
PF00093	26.3672044137985	von Willebrand factor type C domain
PF00094	37.766227276567	von Willebrand factor type D domain
PF00095	11.8168797634145	WAP-type (Whey Acidic Protein) 'four-disulfide core'
PF00096	2342.93571698266	Zinc finger, C2H2 type
PF00097	10.1602854766086	Zinc finger, C3HC4 type (RING finger)
PF00098	30.0142075858223	Zinc knuckle
PF00100	16.780020325542	Zona pellucida-like domain
PF00101	1.63594880800576	Ribulose bisphosphate carboxylase, small chain
PF00102	33.2449625692658	Protein-tyrosine phosphatase
PF00103	6.47611740307088	Somatotropin hormone family
PF00104	52.1611632972439	Ligand-binding domain of nuclear hormone receptor
PF00105	54.3651858265167	Zinc finger, C4 type (two domains)
PF00106	22.9368066968633	short chain dehydrogenase
PF00107	12.5145712173299	Zinc-binding dehydrogenase
PF00108	2.04076806607633	Thiolase, N-terminal domain
PF00109	8.80955234733221	Beta-ketoacyl synthase, N-terminal domain
PF00110	9.63731175057535	wnt family
PF00111	4.6377989115486	2Fe-2S iron-sulfur cluster binding domain
PF00112	15.019793703595	Papain family cysteine protease
PF00113	1.77598037156756	Enolase, C-terminal TIM barrel domain
PF00115	0.778019286176015	Cytochrome C and Quinol oxidase polypeptide I
PF00116	0.249637418228338	Cytochrome C oxidase subunit II, periplasmic domain
PF00117	3.80039408076085	Glutamine amidotransferase class-I
PF00118	4.58779098117564	TCP-1/cpn60 chaperonin family
PF00119	0.512642109436154	ATP synthase A chain
PF00120	1.39304691598845	Glutamine synthetase, catalytic domain
PF00121	0.963086824686154	Triosephosphate isomerase
PF00122	12.7714960404453	E1-E2 ATPase
PF00123	4.80720071808546	Peptide hormone
PF00124	0.147441956154897	Photosynthetic reaction centre protein
PF00125	36.6966149105571	Core histone H2A/H2B/H3/H4
PF00126	0.748589656240288	Bacterial regulatory helix-turn-helix protein, lysR family
PF00127	0.603131922502887	Copper binding proteins, plastocyanin/azurin family
PF00128	4.30239793828089	Alpha amylase, catalytic domain
PF00129	11.9230422794716	Class I Histocompatibility antigen, domains alpha 1 and 2
PF00130	28.6269694805879	Phorbol esters/diacylglycerol binding domain (C1 domain)
PF00131	2.94892103415817	Metallothionein
PF00132	5.37146693230359	Bacterial transferase hexapeptide (six repeats)
PF00133	1.83102621631448	tRNA synthetases class I (I, L, M and V)
PF00134	12.6253330180406	Cyclin, N-terminal domain
PF00135	25.5557361892377	Carboxylesterase family
PF00136	0.979253388080752	DNA polymerase family B
PF00137	2.56631844052219	ATP synthase subunit C
PF00139	17.2020108924498	Legume lectin domain
PF00140	0.249637418228338	Sigma-70 factor, region 1.2
PF00141	40.0744777647313	Peroxidase
PF00142	0.147441956154897	4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family
PF00143	10.7470701546148	Interferon alpha/beta domain
PF00144	4.52881275032831	Beta-lactamase
PF00145	3.62232743393627	C-5 cytosine-specific DNA methylase
PF00146	0.284884924644768	NADH dehydrogenase
PF00147	39.3057628747883	Fibrinogen beta and gamma chains, C-terminal globular domain
PF00148	0.147441956154897	Nitrogenase component 1 type Oxidoreductase
PF00149	18.013843307985	Calcineurin-like phosphoesterase
PF00150	9.21679311704016	Cellulase (glycosyl hydrolase family 5)
PF00151	8.19652925252144	Lipase
PF00152	3.19722101554181	tRNA synthetases class II (D, K and N)
PF00153	33.0440783062731	Mitochondrial carrier protein
PF00154	1.36413693052325	recA bacterial DNA recombination protein
PF00155	7.23558036292914	Aminotransferase class I and II
PF00156	2.14329648130241	Phosphoribosyl transferase domain
PF00157	7.00658765244544	Pou domain - N-terminal to homeobox domain
PF00158	0.452582498418129	Sigma-54 interaction domain
PF00159	1.43338388855905	Pancreatic hormone peptide
PF00160	6.04863541124478	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
PF00161	3.13535241760933	Ribosome inactivating protein
PF00162	1.25127953834936	Phosphoglycerate kinase
PF00163	0.933540349712353	Ribosomal protein S4/S9 N-terminal domain
PF00164	0.859164856827681	Ribosomal protein S12/S23
PF00166	2.59216582638873	Chaperonin 10 Kd subunit
PF00167	10.6760149253357	Fibroblast growth factor
PF00168	85.6293241793972	C2 domain
PF00169	82.2410854455709	PH domain
PF00170	20.0507688963125	bZIP transcription factor
PF00171	6.20907859547863	Aldehyde dehydrogenase family
PF00172	36.5166959365932	Fungal Zn(2)-Cys(6) binuclear cluster domain
PF00173	4.0188565201396	Cytochrome b5-like Heme/Steroid binding domain
PF00174	1.1638682794804	Oxidoreductase molybdopterin binding domain
PF00175	3.02557536349588	Oxidoreductase NAD-binding domain
PF00176	7.62227222135402	SNF2 family N-terminal domain
PF00177	0.594662247335239	Ribosomal protein S7p/S5e
PF00178	12.3691411251515	Ets-domain
PF00179	11.3445170735845	Ubiquitin-conjugating enzyme
PF00180	1.8703121752398	Isocitrate/isopropylmalate dehydrogenase
PF00181	0.924440031576238	Ribosomal Proteins L2, RNA binding domain
PF00182	7.55312905053967	Chitinase class I
PF00183	9.53065230366386	Hsp90 protein
PF00184	0.908627462018565	Neurohypophysial hormones, C-terminal Domain
PF00185	0.499758395733659	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain
PF00186	0.721311205425553	Dihydrofolate reductase
PF00187	6.16065119840474	Chitin recognition protein
PF00188	15.8230553979187	Cysteine-rich secretory protein family
PF00189	0.574834569775249	Ribosomal protein S3, C-terminal domain
PF00190	23.9614122155252	Cupin
PF00191	24.0957931261208	Annexin
PF00193	12.993290725014	Extracellular link domain
PF00194	8.59819664274122	Eukaryotic-type carbonic anhydrase
PF00195	8.08350141764583	Chalcone and stilbene synthases, N-terminal domain
PF00196	0.206184570942362	Bacterial regulatory proteins, luxR family
PF00197	1.37208188372712	Trypsin and protease inhibitor
PF00198	1.75958383309818	2-oxoacid dehydrogenases acyltransferase (catalytic domain)
PF00199	1.41779579895563	Catalase
PF00200	10.8494306268825	Disintegrin
PF00201	53.3715804887277	UDP-glucoronosyl and UDP-glucosyl transferase
PF00202	2.36408309686629	Aminotransferase class-III
PF00203	1.11055541659718	Ribosomal protein S19
PF00204	0.867001050320032	DNA gyrase B
PF00205	1.84835741153408	Thiamine pyrophosphate enzyme, central domain
PF00206	0.932763801387438	Lyase
PF00207	7.93758867727863	Alpha-2-macroglobulin family
PF00208	1.33640949493943	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
PF00209	18.2033733668342	Sodium:neurotransmitter symporter family
PF00210	3.78734225449153	Ferritin-like domain
PF00211	23.9713294934002	Adenylate and Guanylate cyclase catalytic domain
PF00212	1.91371858970427	Atrial natriuretic peptide
PF00213	0.581934139740202	ATP synthase delta (OSCP) subunit
PF00214	2.83363169784533	Calcitonin / CGRP / IAPP family
PF00215	0.581934139740202	Orotidine 5'-phosphate decarboxylase / HUMPS family
PF00216	0.249637418228338	Bacterial DNA-binding protein
PF00217	3.53785600622368	ATP:guanido phosphotransferase, C-terminal catalytic domain
PF00218	0.930430267721223	Indole-3-glycerol phosphate synthase
PF00219	9.08077014759376	Insulin-like growth factor binding protein
PF00220	0.887922179642703	Neurohypophysial hormones, N-terminal Domain
PF00221	3.15807377236359	Aromatic amino acid lyase
PF00223	0.499274836456676	Photosystem I psaA/psaB protein
PF00224	4.52246138787618	Pyruvate kinase, barrel domain
PF00225	18.9662298413822	Kinesin motor domain
PF00226	19.0466500788735	DnaJ domain
PF00227	3.91115091108428	Proteasome subunit
PF00228	3.15830321961859	Bowman-Birk serine protease inhibitor family
PF00229	7.23517975498581	TNF(Tumour Necrosis Factor) family
PF00230	10.707643213537	Major intrinsic protein
PF00231	0.552552268714767	ATP synthase
PF00232	12.5538261388565	Glycosyl hydrolase family 1
PF00233	9.54837669892328	3'5'-cyclic nucleotide phosphodiesterase
PF00234	6.4786904503681	Protease inhibitor/seed storage/LTP family
PF00235	2.16961894737569	Profilin
PF00236	0.640048307355618	Glycoprotein hormone
PF00237	0.78049903520847	Ribosomal protein L22p/L17e
PF00238	1.09918722717582	Ribosomal protein L14p/L23e
PF00240	25.8995085100625	Ubiquitin family
PF00241	4.73271071634826	Cofilin/tropomyosin-type actin-binding protein
PF00243	1.94861526455978	Nerve growth factor family
PF00244	3.68545908885883	14-3-3 protein
PF00245	3.4268758747392	Alkaline phosphatase
PF00246	10.7034916872728	Zinc carboxypeptidase
PF00248	10.3790945590034	Aldo/keto reductase family
PF00249	98.97210117803	Myb-like DNA-binding domain
PF00250	21.1087018711713	Forkhead domain
PF00251	3.22916958859148	Glycosyl hydrolases family 32 N-terminal domain
PF00252	2.16705682105949	Ribosomal protein L16p/L10e
PF00253	0.948173937853768	Ribosomal protein S14p/S29e
PF00254	9.21039635228493	FKBP-type peptidyl-prolyl cis-trans isomerase
PF00255	3.05410154249725	Glutathione peroxidase
PF00257	2.91323815053612	Dehydrin
PF00258	1.78466359703709	Flavodoxin
PF00260	0.314696387689978	Protamine P1
PF00261	3.16044392405584	Tropomyosin
PF00262	2.51881806497501	Calreticulin family
PF00264	5.46839845315903	Common central domain of tyrosinase
PF00265	0.682776372525607	Thymidine kinase
PF00266	3.89077938865823	Aminotransferase class-V
PF00268	1.11489693204445	Ribonucleotide reductase, small chain
PF00270	14.6930099388383	DEAD/DEAH box helicase
PF00271	20.2118370636596	Helicase conserved C-terminal domain
PF00272	0.933799055647682	Cecropin family
PF00273	4.96524150353291	Serum albumin family
PF00274	1.99855019915706	Fructose-bisphosphate aldolase class-I
PF00275	0.622058294486241	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
PF00276	0.731948626797354	Ribosomal protein L23
PF00277	1.57639593839535	Serum amyloid A protein
PF00278	1.93966977616802	Pyridoxal-dependent decarboxylase, C-terminal sheet domain
PF00280	1.77203177690398	Potato inhibitor I family
PF00281	1.24100629263412	Ribosomal protein L5
PF00282	4.58673786597923	Pyridoxal-dependent decarboxylase conserved domain
PF00283	0.206184570942362	Cytochrome b559, alpha (gene psbE) and beta (gene psbF)subunits
PF00284	0.249637418228338	Lumenal portion of Cytochrome b559, alpha (gene psbE) subunit
PF00285	1.02457720748916	Citrate synthase, C-terminal domain
PF00287	2.51766704371233	Sodium / potassium ATPase beta chain
PF00288	2.14723729925774	GHMP kinases N terminal domain
PF00289	1.65137916303211	Biotin carboxylase, N-terminal domain
PF00290	1.12867756400057	Tryptophan synthase alpha chain
PF00291	5.31650424539512	Pyridoxal-phosphate dependent enzyme
PF00292	5.1563478068604	'Paired box' domain
PF00293	5.44329574789335	NUDIX domain
PF00294	4.67142614436129	pfkB family carbohydrate kinase
PF00295	17.082253412314	Glycosyl hydrolases family 28
PF00296	1.06797926484784	Luciferase-like monooxygenase
PF00297	0.997823718856714	Ribosomal protein L3
PF00298	1.14651330285487	Ribosomal protein L11, RNA binding domain
PF00300	6.04879514492878	Histidine phosphatase superfamily (branch 1)
PF00301	0.453115889880101	Rubredoxin
PF00303	0.499274836456676	Thymidylate synthase
PF00304	3.58337546318341	Gamma-thionin family
PF00305	5.90373663709631	Lipoxygenase
PF00306	0.630926012183871	ATP synthase alpha/beta chain, C terminal domain
PF00307	37.4982382838999	Calponin homology (CH) domain
PF00308	0.294883912309794	Bacterial dnaA  protein
PF00310	1.1431374742454	Glutamine amidotransferases class-II
PF00311	2.02174172770079	Phosphoenolpyruvate carboxylase
PF00312	0.996854957736222	Ribosomal protein S15
PF00313	5.06803947839689	'Cold-shock' DNA-binding domain
PF00314	10.8093714931672	Thaumatin family
PF00316	1.2543643616154	Fructose-1-6-bisphosphatase, N-terminal domain
PF00317	0.36315844747302	Ribonucleotide reductase, all-alpha domain
PF00318	2.41342861530218	Ribosomal protein S2
PF00319	23.2649515583956	SRF-type transcription factor (DNA-binding and dimerisation domain)
PF00320	9.26457592929965	GATA zinc finger
PF00321	1.83471621099265	Plant thionin
PF00322	1.57516964809822	Endothelin family
PF00323	3.16441567592633	Mammalian defensin
PF00324	7.65250740380023	Amino acid permease
PF00326	3.20325920980763	Prolyl oligopeptidase family
PF00327	1.54435234146531	Ribosomal protein L30p/L7e
PF00328	4.65858513488132	Histidine phosphatase superfamily (branch 2)
PF00329	0.603131922502887	Respiratory-chain NADH dehydrogenase, 30 Kd subunit
PF00330	1.06162759011652	Aconitase family (aconitate hydratase)
PF00331	3.44234781132097	Glycosyl hydrolase family 10
PF00332	16.9424858296224	Glycosyl hydrolases family 17
PF00333	1.1496691395505	Ribosomal protein S5, N-terminal domain
PF00334	4.44097086482474	Nucleoside diphosphate kinase
PF00335	15.3704811512606	Tetraspanin family
PF00337	10.462562658895	Galactoside-binding lectin
PF00338	1.23710742565417	Ribosomal protein S10p/S20e
PF00339	7.56769768880726	Arrestin (or S-antigen), N-terminal domain
PF00340	3.19759873673346	Interleukin-1 / 18
PF00341	4.6968485682881	PDGF/VEGF domain
PF00342	1.04880884817015	Phosphoglucose isomerase
PF00343	1.46669960437323	Carbohydrate phosphorylase
PF00344	1.37278587653062	SecY translocase
PF00346	0.997823718856714	Respiratory-chain NADH dehydrogenase, 49 Kd subunit
PF00347	2.20813165609028	Ribosomal protein L6
PF00348	2.88256461227868	Polyprenyl synthetase
PF00349	3.70800153213545	Hexokinase
PF00350	6.7618209250336	Dynamin family
PF00351	2.02066617417118	Biopterin-dependent aromatic amino acid hydroxylase
PF00352	2.42381501502345	Transcription factor TFIID (or TATA-binding protein, TBP)
PF00353	0.482044759082032	RTX calcium-binding nonapeptide repeat (4 copies)
PF00354	13.7069396014105	Pentaxin family
PF00355	3.21530158013331	Rieske [2Fe-2S] domain
PF00356	0.147441956154897	Bacterial regulatory proteins, lacI family
PF00357	2.94531479252272	Integrin alpha cytoplasmic region
PF00359	0.480036230516714	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2
PF00360	1.18790197874703	Phytochrome region
PF00361	1.1638682794804	Proton-conducting membrane transporter
PF00362	4.03989764064139	Integrin beta chain VWA domain
PF00363	0.81293884469706	Casein
PF00364	2.86347985992787	Biotin-requiring enzyme
PF00365	4.06594196441255	Phosphofructokinase
PF00366	1.31215057460445	Ribosomal protein S17
PF00367	0.147441956154897	phosphotransferase system, EIIB
PF00368	0.770532158162971	Hydroxymethylglutaryl-coenzyme A reductase
PF00370	2.11139077730598	FGGY family of carbohydrate kinases, N-terminal domain
PF00372	2.61545019263318	Hemocyanin, copper containing domain
PF00373	21.8197712054672	FERM central domain
PF00375	9.25254893722529	Sodium:dicarboxylate symporter family
PF00377	0.959317390164727	Prion/Doppel alpha-helical domain
PF00378	4.46202441003507	Enoyl-CoA hydratase/isomerase
PF00379	50.3154493614481	Insect cuticle protein
PF00380	0.855784522972024	Ribosomal protein S9/S16
PF00381	0.147441956154897	PTS HPr component phosphorylation site
PF00382	2.78479307377911	Transcription factor TFIIB repeat
PF00383	4.87193480993645	Cytidine and deoxycytidylate deaminase zinc-binding region
PF00384	0.816496580927726	Molybdopterin oxidoreductase
PF00385	10.4978718800365	Chromo (CHRromatin Organisation MOdifier) domain
PF00386	27.1417819699152	C1q domain
PF00387	6.55824885311038	Phosphatidylinositol-specific phospholipase C, Y domain
PF00388	7.94607428975828	Phosphatidylinositol-specific phospholipase C, X domain
PF00389	3.33804015513515	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
PF00390	1.85735253899368	Malic enzyme, N-terminal domain
PF00391	1.06797926484784	PEP-utilising enzyme, mobile domain
PF00392	0.249637418228338	Bacterial regulatory proteins, gntR family
PF00393	1.66941801887338	6-phosphogluconate dehydrogenase, C-terminal domain
PF00394	17.3611816423688	Multicopper oxidase
PF00395	0.32674651493804	S-layer homology domain
PF00396	6.40972238578255	Granulin
PF00397	25.6693674468377	WW domain
PF00398	0.750201261240709	Ribosomal RNA adenine dimethylase
PF00399	5.81685041859171	Yeast PIR protein repeat
PF00400	170.918123178667	WD domain, G-beta repeat
PF00401	0.249637418228338	ATP synthase, Delta/Epsilon chain, long alpha-helix domain
PF00402	6.06630035524124	Calponin family repeat
PF00403	19.4783789463295	Heavy-metal-associated domain
PF00405	3.8368289040101	Transferrin
PF00406	4.24172966269669	Adenylate kinase
PF00407	6.43334459712163	Pathogenesis-related protein Bet v I family
PF00408	0.795215159411875	Phosphoglucomutase/phosphomannomutase, C-terminal domain
PF00410	1.03746253060795	Ribosomal protein S8
PF00411	0.957300956216459	Ribosomal protein S11
PF00412	66.9224116327554	LIM domain
PF00413	11.0002195849844	Matrixin
PF00414	2.01072006233641	Neuraxin and MAP1B repeat
PF00415	48.327850763512	Regulator of chromosome condensation (RCC1) repeat
PF00416	1.01890345529286	Ribosomal protein S13/S18
PF00418	6.52457265337576	Tau and MAP protein, tubulin-binding repeat
PF00420	0.482044759082032	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L
PF00421	0.893616654185497	Photosystem II protein
PF00425	1.67158694017114	chorismate binding enzyme
PF00428	2.4707956042284	60s Acidic ribosomal protein
PF00429	5.67888707883035	ENV polyprotein (coat polyprotein)
PF00430	0.453115889880101	ATP synthase B/B' CF(0)
PF00431	89.2150742229083	CUB domain
PF00432	2.77088032541605	Prenyltransferase and squalene oxidase repeat
PF00433	11.7405322118871	Protein kinase C terminal domain
PF00435	100.18981260949	Spectrin repeat
PF00436	1.16635606631506	Single-strand binding protein family
PF00437	0.147441956154897	Type II/IV secretion system protein
PF00438	1.22848636295294	S-adenosylmethionine synthetase, N-terminal domain
PF00439	16.8419908860215	Bromodomain
PF00440	0.147441956154897	Bacterial regulatory proteins, tetR family
PF00441	4.66107325245316	Acyl-CoA dehydrogenase, C-terminal domain
PF00443	17.5186994642261	Ubiquitin carboxyl-terminal hydrolase
PF00444	0.529332822253614	Ribosomal protein L36
PF00445	1.79424738302654	Ribonuclease T2 family
PF00446	0.673874083336966	Gonadotropin-releasing hormone
PF00447	11.4116010130551	HSF-type DNA-binding
PF00448	1.83313569422178	SRP54-type protein, GTPase domain
PF00449	0.652383219231074	Urease alpha-subunit, N-terminal domain
PF00450	16.2078438695143	Serine carboxypeptidase
PF00452	5.20353837251181	Apoptosis regulator proteins, Bcl-2 family
PF00453	0.556038437485533	Ribosomal protein L20
PF00454	6.31220732807922	Phosphatidylinositol 3- and 4-kinase
PF00456	1.12352963493613	Transketolase, thiamine diphosphate binding domain
PF00457	0.48553969175602	Glycosyl hydrolases family 11
PF00458	3.24796480312192	WHEP-TRS domain
PF00459	2.3185869426502	Inositol monophosphatase family
PF00460	0.147441956154897	Flagella basal body rod protein
PF00462	11.3599219225731	Glutaredoxin
PF00463	0.761704166139963	Isocitrate lyase family
PF00464	1.50168986936988	Serine hydroxymethyltransferase
PF00465	0.81412648425607	Iron-containing alcohol dehydrogenase
PF00466	1.07406852128055	Ribosomal protein L10
PF00467	2.94293553534857	KOW motif
PF00468	0.630926012183871	Ribosomal protein L34
PF00471	0.681005224606999	Ribosomal protein L33
PF00472	1.4439612718454	RF-1 domain
PF00473	1.66536180804377	Corticotropin-releasing factor family
PF00474	9.86459045918969	Sodium:solute symporter family
PF00475	0.62322210896393	Imidazoleglycerol-phosphate dehydratase
PF00476	1.23964308405501	DNA polymerase family A
PF00477	0.870615307982092	Small hydrophilic plant seed protein
PF00478	2.38037467111361	IMP dehydrogenase / GMP reductase domain
PF00479	1.32679556580128	Glucose-6-phosphate dehydrogenase, NAD binding domain
PF00480	0.958309703552409	ROK family
PF00481	21.5810907569768	Protein phosphatase 2C
PF00482	0.147441956154897	Type II secretion system (T2SS), protein F
PF00483	3.08032559920237	Nucleotidyl transferase
PF00484	2.01839367901266	Carbonic anhydrase
PF00485	2.7378188716409	Phosphoribulokinase / Uridine kinase family
PF00486	0.32674651493804	Transcriptional regulatory protein, C terminal
PF00487	3.18791498198543	Fatty acid desaturase
PF00488	1.70761296229137	MutS domain V
PF00489	0.443961089821352	Interleukin-6/G-CSF/MGF family
PF00490	0.388854380801604	Delta-aminolevulinic acid dehydratase
PF00491	1.37331363430363	Arginase family
PF00493	1.90967533978466	MCM P-loop domain
PF00494	1.55541752320642	Squalene/phytoene synthase
PF00496	0.463133623939343	Bacterial extracellular solute-binding proteins, family 5 Middle
PF00497	6.32245442464323	Bacterial extracellular solute-binding proteins, family 3
PF00498	7.1250052970571	FHA domain
PF00501	14.925272798711	AMP-binding enzyme
PF00503	8.30461718965219	G-protein alpha subunit
PF00504	11.4386411814207	Chlorophyll A-B binding protein
PF00505	20.4997584526832	HMG (high mobility group) box
PF00507	0.437383524868149	NADH-ubiquinone/plastoquinone oxidoreductase, chain 3
PF00510	0.48553969175602	Cytochrome c oxidase subunit III
PF00512	4.47623893194336	His Kinase A (phospho-acceptor) domain
PF00514	38.6897544764667	Armadillo/beta-catenin-like repeat
PF00515	7.79957263786506	Tetratricopeptide repeat
PF00517	2.27791327510265	Retroviral envelope protein
PF00519	0.147441956154897	Papillomavirus helicase
PF00520	74.2122071550312	Ion transport protein
PF00521	1.55790023432074	DNA gyrase/topoisomerase IV, subunit A
PF00525	1.49975843465501	Alpha crystallin A chain, N terminal
PF00526	29.1935073186696	Dictyostelium (slime mold) repeat
PF00528	2.59616960508313	Binding-protein-dependent transport system inner membrane component
PF00530	203.26771690138	Scavenger receptor cysteine-rich domain
PF00531	60.58095952529	Death domain
PF00533	4.43046109420299	BRCA1 C Terminus (BRCT) domain
PF00534	9.99200163222352	Glycosyl transferases group 1
PF00535	10.5445913053613	Glycosyl transferase family 2
PF00536	32.7049465153216	SAM domain (Sterile alpha motif)
PF00537	1.03209369308428	Scorpion toxin-like domain
PF00538	9.55856597899911	linker histone H1 and H5 family
PF00542	1.61469699225941	Ribosomal protein L7/L12 C-terminal domain
PF00543	0.542404736843922	Nitrogen regulatory protein P-II
PF00544	6.2474342559653	Pectate lyase
PF00545	0.206184570942362	ribonuclease
PF00547	0.531609533071195	Urease, gamma subunit
PF00549	1.11554670204543	CoA-ligase
PF00550	11.7496633727091	Phosphopantetheine attachment site
PF00551	1.03092285471181	Formyl transferase
PF00552	1.05225775207959	Integrase DNA binding domain
PF00553	0.643060316026661	Cellulose binding domain
PF00554	5.23846789564657	Rel homology DNA-binding domain
PF00557	2.34675230410276	Metallopeptidase family M24
PF00560	67.3111062467004	Leucine Rich Repeat
PF00561	9.34339519748711	alpha/beta hydrolase fold
PF00562	1.23319623209768	RNA polymerase Rpb2, domain 6
PF00563	1.33640949493943	EAL domain
PF00564	9.18497512876012	PB1 domain
PF00565	2.2393063108077	Staphylococcal nuclease homologue
PF00566	12.5860900138108	Rab-GTPase-TBC domain
PF00567	21.1000835678451	Tudor domain
PF00568	5.19238572962539	WH1 domain
PF00569	6.39583952933656	Zinc finger, ZZ type
PF00570	1.29901486270426	HRDC domain
PF00571	14.5052547533277	CBS domain
PF00572	1.06162759011652	Ribosomal protein L13
PF00573	1.02716720341341	Ribosomal protein L4/L1 family
PF00574	3.2799346052159	Clp protease
PF00575	3.82869915220139	S1 RNA binding domain
PF00576	0.727645929717068	HIUase/Transthyretin family
PF00578	2.17462307245333	AhpC/TSA family
PF00579	1.4698253207201	tRNA synthetases class I (W and Y)
PF00580	1.2040591572287	UvrD/REP helicase N-terminal domain
PF00581	6.85882484547241	Rhodanese-like domain
